entry_id,field1,field2,field3,field4,field5,latitude,longitude,elevation,status
152,0,162,1134,12,12.99,,,,
153,0,163,179,0,12.97,,,,
154,0,164,0,0,13.01,,,,
155,0,166,43,0,0.00,,,,
156,0,167,0,0,0.01,,,,
157,0,168,0,0,10.40,,,,
158,0,169,0,578,12.43,,,,
159,0,170,509,42,12.41,,,,
160,0,171,0,0,12.27,,,,
161,0,172,158,0,11.73,,,,
162,0,173,1197,0,12.12,,,,
163,0,174,0,0,11.60,,,,
164,0,175,432,0,11.54,,,,
165,0,176,0,0,11.55,,,,
166,0,177,4095,4095,12.79,,,,
167,0,178,149,0,12.29,,,,
168,0,179,591,1321,12.08,,,,
